"Start";"End";"Name"
"06/10/2016";"06/10/2016";"File All Release Engineering Tickets for Tenda 1 Alpha"
"06/15/2016";"06/15/2016";"Feature Submission Deadline"
"06/16/2016";"06/16/2016";"Create Installable Images for QA testing #1"
"06/16/2016";"06/21/2016";"Pre-Alpha Rawhide Acceptance Test Plan #1"
"06/17/2016";"06/17/2016";"Create Alpha Test Compose (TC)"
"06/17/2016";"06/17/2016";"Alpha Blocker Meeting (f1alpha) #1"
"06/17/2016";"06/27/2016";"Test Alpha 'Test Compose'"
"06/17/2016";"06/24/2016";"Pre-Alpha Rawhide Acceptance Test Plan #2"
"06/17/2016";"06/17/2016";"Create Installable Images for QA testing #2"
"06/22/2016";"06/22/2016";"Feature Freeze (Testable|Complete)"
"06/22/2016";"06/22/2016";"Orphan Rawhide Packages"
"06/22/2016";"06/22/2016";"Branch Tenda 1 from Rawhide"
"06/22/2016";"06/22/2016";"Spins Freeze--All Tenda 1 Spins Identified"
"06/24/2016";"06/24/2016";"Create Installable Images for QA testing #3"
"06/24/2016";"06/24/2016";"Alpha Blocker Meeting (f1alpha) #2"
"06/24/2016";"06/29/2016";"Pre-Alpha Rawhide Acceptance Test Plan #3"
"06/24/2016";"06/24/2016";"Alpha Change Deadline"
"06/27/2016";"06/30/2016";"Daily Review & Notification of Open Alpha Blocker Bugs"
"06/28/2016";"07/05/2016";"Test Alpha Candidate"
"06/28/2016";"06/28/2016";"Compose Alpha Candidate"
"06/29/2016";"06/29/2016";"Software String Freeze"
"06/29/2016";"07/01/2016";"Comb Beats and Feature Pages for Alpha"
"06/29/2016";"06/29/2016";"Start Alpha Beat and Feature Page Review"
"07/01/2016";"07/11/2016";"Prepare Alpha Release Notes (1 page)"
"07/01/2016";"07/01/2016";"Alpha Blocker Meeting (f1alpha) #3"
"07/04/2016";"07/04/2016";"Tenda 1 Alpha Go/No-Go Meeting (17:00 US Eastern)"
"07/05/2016";"07/05/2016";"Start Stage & Sync Alpha to Mirrors"
"07/05/2016";"07/08/2016";"Stage & Sync Alpha to Mirrors"
"07/06/2016";"07/06/2016";"Alpha Export Control Reporting"
"07/06/2016";"07/06/2016";"Alpha Blocker Meeting (f1alpha) #4"
"07/06/2016";"07/06/2016";"Notify Mirrors of Tenda 1 Alpha"
"07/08/2016";"07/08/2016";"Alpha Public Availability"
"07/08/2016";"07/11/2016";"NVR Update Check testing"
"07/08/2016";"07/08/2016";"Tenda 1 Alpha Release Readiness Meeting"
"07/08/2016";"07/29/2016";"Alpha Testing"
"07/12/2016";"07/12/2016";"File All Release Engineering Tickets for Tenda 1 Beta"
"07/13/2016";"07/13/2016";"Beta Blocker Meeting (f1beta) #1"
"07/18/2016";"07/22/2016";"Pre-Beta Acceptance Test Plan"
"07/18/2016";"07/18/2016";"Build F-1 collection packages for all language translators"
"07/18/2016";"07/18/2016";"Compose of Live Image of Software Review UI for Translation"
"07/20/2016";"07/20/2016";"Beta Blocker Meeting (f1beta) #2"
"07/21/2016";"07/27/2016";"Daily Review & Notification of Open Beta Blocker Bugs"
"07/22/2016";"07/22/2016";"Create Beta Test Compose (TC)"
"07/22/2016";"08/01/2016";"Test Beta 'Test Compose'"
"07/27/2016";"07/27/2016";"Beta Blocker Meeting (f1beta) #3"
"07/29/2016";"07/29/2016";"Beta Change Deadline"
"07/29/2016";"08/12/2016";"Beta Infrastructure Change Freeze"
"07/29/2016";"07/29/2016";"End of Alpha Testing"
"07/29/2016";"07/29/2016";"Features 100% Complete Deadline"
"08/02/2016";"08/02/2016";"Compose Beta Candidate"
"08/02/2016";"08/09/2016";"Test Beta Candidate"
"08/03/2016";"08/03/2016";"Beta Blocker Meeting (f1beta) #4"
"08/08/2016";"08/08/2016";"Tenda 1 Beta Go/No-Go Meeting (17:00 US Eastern)"
"08/09/2016";"08/09/2016";"Tenda 1 Beta Release Readiness Meeting"
"08/09/2016";"08/09/2016";"Start Stage & Sync Beta to Mirrors"
"08/09/2016";"08/12/2016";"Stage & Sync Beta to Mirrors"
"08/10/2016";"08/10/2016";"Notify Mirrors of Tenda 1 Beta"
"08/10/2016";"08/10/2016";"Beta Export Control Reporting"
"08/10/2016";"08/10/2016";"Final Blocker Meeting (f1blocker) #1"
"08/12/2016";"09/01/2016";"Beta Testing"
"08/12/2016";"08/12/2016";"Beta Release Public Availability"
"08/12/2016";"08/12/2016";"Prepare GA Release Notes"
"08/16/2016";"08/16/2016";"File All Release Engineering Tickets for Tenda 1 GA"
"08/17/2016";"08/17/2016";"Final Blocker Meeting (f1blocker) #2"
"08/23/2016";"08/29/2016";"Pre-RC Acceptance Test Plan"
"08/24/2016";"08/24/2016";"Final Blocker Meeting (f1blocker) #3"
"08/25/2016";"08/25/2016";"Create 'Final' Test Compose (TC)"
"08/25/2016";"08/31/2016";"Test 'Final' Test Compose (TC)"
"08/25/2016";"08/31/2016";"Daily Review & Notification of Open Final Blocker Bugs"
"08/31/2016";"08/31/2016";"Final Blocker Meeting (f1blocker) #4"
"09/01/2016";"09/01/2016";"Final Blocker Meeting (f1blocker)--Blocks RC Compose"
"09/01/2016";"09/01/2016";"End of Beta Testing"
"09/01/2016";"09/01/2016";"Final Change Deadline"
"09/02/2016";"09/05/2016";"Compose 'Final' RC: DVD, Live, Spins"
"09/02/2016";"09/16/2016";"Final Infrastructure Change Freeze"
"09/05/2016";"09/05/2016";"Enable Tenda 1 Updates"
"09/05/2016";"09/05/2016";"Deliver RC to QA for Testing"
"09/05/2016";"09/06/2016";"Test 'Final' RC"
"09/06/2016";"09/06/2016";"Start Stage & Sync RC to Mirrors"
"09/06/2016";"09/06/2016";"Notify Mirrors of Tenda 1 Final"
"09/06/2016";"09/07/2016";"Stage & Sync RC to Mirrors"
"09/07/2016";"09/07/2016";"Final (GA) Release"
